dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.1,64,4,0.2,0.091309614,0.9785714285714285,0.091309614,0.9785714285714285,0.29307613,0.9166666666666666
aifb,50,False,0.01,0.1,64,4,0.5,0.19678533,0.9428571428571428,0.19678533,0.9428571428571428,0.30375037,0.9166666666666666
aifb,50,False,0.01,0.1,64,4,0.8,0.18868409,0.9571428571428572,0.18868409,0.9571428571428572,0.30138916,0.9444444444444444
aifb,50,False,0.01,0.1,64,4,0.9,0.20219947,0.95,0.20219947,0.95,0.341869,0.9166666666666666
aifb,50,False,0.01,0.1,64,8,0.2,0.06889345,1.0,0.06889345,1.0,0.28431356,0.9166666666666666
aifb,50,False,0.01,0.1,64,8,0.5,0.1161579,0.9857142857142858,0.1161579,0.9857142857142858,0.28022513,0.9166666666666666
aifb,50,False,0.01,0.1,64,8,0.8,0.12102229,0.9714285714285714,0.12102229,0.9714285714285714,0.26015642,0.9166666666666666
aifb,50,False,0.01,0.1,64,8,0.9,0.19052424,0.9357142857142857,0.19052424,0.9357142857142857,0.3190529,0.9166666666666666
aifb,50,False,0.01,0.1,64,16,0.2,0.062380504,0.9857142857142858,0.062380504,0.9857142857142858,0.29563627,0.9166666666666666
aifb,50,False,0.01,0.1,64,16,0.5,0.06965624,1.0,0.06965624,1.0,0.31063065,0.8888888888888888
aifb,50,False,0.01,0.1,64,16,0.8,0.06368691,0.9928571428571429,0.06368691,0.9928571428571429,0.30767134,0.9166666666666666
aifb,50,False,0.01,0.1,64,16,0.9,0.1935514,0.9642857142857143,0.1935514,0.9642857142857143,0.32696396,0.9166666666666666
aifb,50,False,0.01,0.1,64,32,0.2,0.04106446,1.0,0.04106446,1.0,0.2661923,0.9166666666666666
aifb,50,False,0.01,0.1,64,32,0.5,0.038006563,1.0,0.038006563,1.0,0.29430035,0.9166666666666666
aifb,50,False,0.01,0.1,64,32,0.8,0.060692605,1.0,0.060692605,1.0,0.27085826,0.9166666666666666
aifb,50,False,0.01,0.1,64,32,0.9,0.16181538,0.9571428571428572,0.16181538,0.9571428571428572,0.31275514,0.9166666666666666
aifb,50,False,0.01,1,8,4,0.2,1.3860326,0.5571428571428572,1.3860326,0.5571428571428572,1.3860717,0.5555555555555556
aifb,50,False,0.01,1,8,4,0.5,1.3856559,0.6357142857142857,1.3856559,0.6357142857142857,1.3857172,0.5277777777777778
aifb,50,False,0.01,1,8,4,0.8,1.3862004,0.6357142857142857,1.3862004,0.6357142857142857,1.3862183,0.5833333333333334
aifb,50,False,0.01,1,8,4,0.9,1.3862425,0.4357142857142857,1.3862425,0.4357142857142857,1.3862466,0.4166666666666667
aifb,50,False,0.01,1,8,8,0.2,1.0917088,0.7428571428571429,1.0917088,0.7428571428571429,1.1127114,0.6944444444444444
aifb,50,False,0.01,1,8,8,0.5,1.377277,0.6357142857142857,1.377277,0.6357142857142857,1.3783227,0.5833333333333334
aifb,50,False,0.01,1,8,8,0.8,1.3852247,0.5785714285714286,1.3852247,0.5785714285714286,1.3853974,0.5555555555555556
aifb,50,False,0.01,1,8,8,0.9,1.3818632,0.5214285714285715,1.3818632,0.5214285714285715,1.3825077,0.5277777777777778
aifb,50,False,0.01,1,8,16,0.2,0.702605,0.85,0.702605,0.85,0.7994097,0.8333333333333334
aifb,50,False,0.01,1,8,16,0.5,0.73628956,0.7428571428571429,0.73628956,0.7428571428571429,0.8405337,0.6944444444444444
aifb,50,False,0.01,1,8,16,0.8,0.88070035,0.8642857142857143,0.88070035,0.8642857142857143,0.9457156,0.8055555555555556
aifb,50,False,0.01,1,8,16,0.9,0.8693811,0.8642857142857143,0.8693811,0.8642857142857143,0.9510587,0.8055555555555556
aifb,50,False,0.01,1,8,32,0.2,0.52059186,0.8642857142857143,0.52059186,0.8642857142857143,0.6602757,0.8055555555555556
aifb,50,False,0.01,1,8,32,0.5,0.52111214,0.8714285714285714,0.52111214,0.8714285714285714,0.62097144,0.8333333333333334
aifb,50,False,0.01,1,8,32,0.8,0.72608197,0.7428571428571429,0.72608197,0.7428571428571429,0.8289427,0.6944444444444444
aifb,50,False,0.01,1,8,32,0.9,0.7166042,0.8714285714285714,0.7166042,0.8714285714285714,0.82901317,0.8055555555555556
aifb,50,False,0.01,1,16,4,0.2,1.385397,0.34285714285714286,1.385397,0.34285714285714286,1.3855299,0.3333333333333333
